acl 2.3.2-1
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xclip 0.13-5
xdg-utils 1.2.1-1
xkeyboard-config 2.42-1
xorg-xprop 1.2.7-1
xorg-xset 1.2.5-2
xorgproto 2024.1-2
xxhash 0.8.2-1
xz 5.6.2-1
yyjson 0.10.0-1
zlib 1:1.3.1-2
zram-generator 1.1.2-1
zsh 5.9-5
zstd 1.5.6-1
